WBS,Task Name,link,begin,end,Predecessors,is soft pred.1,is soft pred.2,Details,Start,Finish,Duration,% Complete,Status,Assigned To,Comments
,Mathematics,,,,,,,,,02/08/14,,,,,
1.,Basic Arithmetic,,,,,,,,,02/08/14,,,,,
1.1.,Basic Number Operations,,,,,,,,,02/08/14,,,,,
1.1.1,Sum and Subtraction,need to do ourselves,,,,,,"add two numbers, subtract one number from another, subtract larger number from smaller, addition is symmetric, subtraction is not, subtraction is also addition.",,,,,,,
1.1.2,Multiplication and division,,,,,,,,,,,,,,
1.1.2.1,Introduction to Multiplication and division,need to do ourselves,,,4,,,"multiply two numbers, divide one number by another, multiplication is repeated sum",,,1,,,,
1.1.2.2,Multiplication Table,need to do ourselves,,,6,,,multiplication table of numbers upto 16. How to quickly compute if one cant memorize.,,,1,,,,
1.1.2.3,How to do long Multiplication,https://www.youtube.com/watch?v=0jhf1ldvP-o,0:00,2:13,"6, 7",,,teach the technique,,,1,,,,
1.1.2.4,How to do long division,"https://www.youtube.com/watch?v=MbpmP1esh-Q
https://www.youtube.com/watch?v=eIUoIhfupuA",,,"6, 7",,,teach the technique,,,1,,,,
1.1.3,PEDMAS,https://www.youtube.com/watch?v=3Mu3ciXkemg,00:09,2:08,,,,"The precedence table, a few tricky examples",0.09,02/08/14,1,,,,
1.2.,Number Lines,,,,,,,,,,,,,,
1.2.1,Introduction to Number Lines,https://www.youtube.com/watch?v=g4Q5LOQG6OQ,,,4,,,"what is number line, positions of numbers, negative numbers, addition, subtraction etc. on number line",,,1,,,,
1.2.2,Inequality,https://www.youtube.com/watch?v=dTwZ5N126gw,,,12,,,Relative position of two numbers on the number line,,,1,,,,
1.3.,Integers,,,,,,,,,,,,,,
1.3.1,Introduction to Integers,https://www.youtube.com/watch?v=LTSjIgfA7NY,,,4,,,"what are integers, negative integers, counting numbers",,,1,,,,
1.3.2,Odd-Even Numbers,,,,,,,,,,,,,,
1.3.2.1,Introduction to Odd-Even Numbers,https://www.youtube.com/watch?v=xtd5Dk7mvgE,,,15,,,"Odd Numbers, Even Numbers, Odd and Even are alternative numbers",,,1,,,,
1.3.2.2,Addition of Odd-Even,https://www.youtube.com/watch?v=dP5WZzNxYVA,1:20,3:26,17,,,Addition of odd and even is odd,,,1,,,,
1.3.2.3,Multiplication of Odd-Even,https://www.youtube.com/watch?v=dP5WZzNxYVA,3:27,4:26,"17, 6",,,multiplication odd-even is even,,,1,,,,
1.4.,Fractions,,,,,,,,,,,,,,
1.4.1,Introduction to fractions and decimals,"https://www.youtube.com/watch?v=ER3mpiG7x242
https://www.youtube.com/watch?v=Vmn9JEzEZuc","0:00`
0:00","1:21
0:51","12, 6",,,"Fractions and decimals on number line, converting fraction to decimal",,,1,,,,
1.4.2,Reciprocals,https://www.youtube.com/watch?v=ywZGdmdZYk4,,,21,,,reciprocals of numbers,,,1,,,,
1.4.3,Fractions,,,,,,,,,,,,,,
1.4.3.1,Simplification of a fraction,https://www.youtube.com/watch?v=8JrORrjqLWs,,,"56, 21",,,dividing both numerator and denominator by a common factor to bring it to more basic form,,,1,,,,
1.4.3.2,Interchanging improper and mixed fractions,"https://www.youtube.com/watch?v=IByEp5brtw4
https://www.youtube.com/watch?v=si5Qf4lfPh0",0:17,,21,,,Improper to mixed and mixed to improper fraction conversion,,,1,,,,
1.4.3.3,converting fraction into decimals,https://www.youtube.com/watch?v=NBzqxRIa9BY,,,21,,,,,,1,,,,
1.4.3.4,Addition and Subtraction of Fractions,https://www.youtube.com/watch?v=Bim6Lw92rjY,,,"21, 53",,,Adding two fractions using LCM method,,,1,,,,
1.4.3.5,Multiplication of fractions,https://www.youtube.com/watch?v=CTKMK1ZGLuk,,,21,,,"Multiplying numerator with numerator and denominator with denominator, simplification of result fraction",,,1,,,,
1.4.3.6,Division of fractions,"https://www.youtube.com/watch?v=jXTSbGd6HtU
https://www.youtube.com/watch?v=-zMp-hBAzLs",,,21,,,division is multiplication of the reciprocal,,,1,,,,
1.4.4,Decimals,,,,,,,,,,,,,,
