,index,WBS,Task.Name,Score.Groups,link,begin,end,Predecessors,leaf,prob
4,4,1.1.1.,Sum and Subtraction,1,need to do ourselves,,,,TRUE,97
6,6,1.1.2.1.,Introduction to Multiplication and division,1,need to do ourselves,,,4,TRUE,97
7,7,1.1.2.2.,Multiplication Table,NA,need to do ourselves,,,6,TRUE,97
8,8,1.1.2.3.,How to do long Multiplication,NA,https://www.youtube.com/watch?v=0jhf1ldvP-o,0:00,2:13,"6, 7",TRUE,97
9,9,1.1.2.4.,How to do long division,NA,"https://www.youtube.com/watch?v=MbpmP1esh-Q
https://www.youtube.com/watch?v=eIUoIhfupuA",,,"6, 7",TRUE,97
10,10,1.1.3.,PEDMAS,2,https://www.youtube.com/watch?v=3Mu3ciXkemg,0:09,2:08,,TRUE,85
12,12,1.2.1.,Introduction to Number Lines,3,https://www.youtube.com/watch?v=g4Q5LOQG6OQ,,,4,TRUE,62
13,13,1.2.2.,Inequality,3,https://www.youtube.com/watch?v=dTwZ5N126gw,,,12,TRUE,62
15,15,1.3.1.,Introduction to Integers,2,https://www.youtube.com/watch?v=LTSjIgfA7NY,,,4,TRUE,85
17,17,1.3.2.1.,Introduction to Odd-Even Numbers,3,https://www.youtube.com/watch?v=xtd5Dk7mvgE,,,15,TRUE,62
18,18,1.3.2.2.,Addition of Odd-Even,3,https://www.youtube.com/watch?v=dP5WZzNxYVA,1:20,3:26,17,TRUE,62
19,19,1.3.2.3.,Multiplication of Odd-Even,3,https://www.youtube.com/watch?v=dP5WZzNxYVA,3:27,4:26,"17, 6",TRUE,62
21,21,1.4.1.,Introduction to fractions and decimals,3,"https://www.youtube.com/watch?v=ER3mpiG7x242
https://www.youtube.com/watch?v=Vmn9JEzEZuc","0:00`
0:00","1:21
0:51","12, 6",TRUE,62
22,22,1.4.2.,Reciprocals,3,https://www.youtube.com/watch?v=ywZGdmdZYk4,,,21,TRUE,62
24,24,1.4.3.1.,Simplification of a fraction,3,https://www.youtube.com/watch?v=8JrORrjqLWs,,,"56, 21",TRUE,62
25,25,1.4.3.2.,Interchanging improper and mixed fractions,3,"https://www.youtube.com/watch?v=IByEp5brtw4
https://www.youtube.com/watch?v=si5Qf4lfPh0",0:17,,21,TRUE,62
26,26,1.4.3.3.,converting fraction into decimals,3,https://www.youtube.com/watch?v=NBzqxRIa9BY,,,21,TRUE,62
27,27,1.4.3.4.,Addition and Subtraction of Fractions,4,https://www.youtube.com/watch?v=Bim6Lw92rjY,,,"21, 53",TRUE,30
