"","index","WBS","Task.Name","Score.Groups","leaf","prob"
"1",1,".","Mathematics",NA,TRUE,NA
"4",4,"1.1.1.","Sum and Subtraction",1,TRUE,97
"5",5,"1.1.2.","Multiplication and division",1,TRUE,97
"6",6,"1.1.3.","PEDMAS",2,TRUE,85
"8",8,"1.2.1.","Introduction to Number Lines",3,TRUE,62
"9",9,"1.2.2.","order of numbers and basic Inequality",3,TRUE,62
"11",11,"1.3.1.","Introduction to Integers",2,TRUE,85
"12",12,"1.3.2.","Odd-Even Numbers and their properties",3,TRUE,62
"15",15,"1.4.1.1.","Introduction to fractions and decimals",3,TRUE,62
"16",16,"1.4.1.2.","fraction decimal interchange",3,TRUE,62
"17",17,"1.4.1.3.","Reciprocals",3,TRUE,62
"18",18,"1.4.1.4.","Simplification of a fraction",3,TRUE,62
"19",19,"1.4.1.5.","Interchanging improper and mixed fractions",3,TRUE,62
"20",20,"1.4.1.6.","Addition and Subtraction of Fractions",4,TRUE,30
"21",21,"1.4.1.7.","Multiplication and dvision of fractions",3,TRUE,62
"22",22,"1.4.1.8.","Place Value",3,TRUE,62
"24",24,"1.4.2.1.","Introduction to Percentage",3,TRUE,62
"25",25,"1.4.2.2.","fraction percent interchange",3,TRUE,62
"26",26,"1.4.2.3.","Percent Change",4,TRUE,30
"27",27,"1.4.2.4.","Chain Percentage",5,TRUE,7
"28",28,"1.4.2.5.","Inverting Percent change",5,TRUE,7
"31",31,"1.5.1.1.","Introduction to squaring",2,TRUE,85
"32",32,"1.5.1.2.","Squaring Negative Integers",3,TRUE,62
"33",33,"1.5.1.3.","Perfect Square Numbers",2,TRUE,85
"34",34,"1.5.2.","Square root of integers",3,TRUE,62
"35",35,"1.5.3.","Square of Fractions",4,TRUE,30
"38",38,"1.6.1.1.","Tricks to check Divisibly by specific numbers",2,TRUE,85
"40",40,"1.6.1.2.1.","Introduction to Multiples",3,TRUE,62
"41",41,"1.6.1.2.2.","LCM",4,TRUE,30
"42",42,"1.6.1.3.","remainders",4,TRUE,30
"44",44,"1.6.2.1.","Identify factors of natural numbers",1,TRUE,97
"45",45,"1.6.2.2.","Prime Factorization",4,TRUE,30
"46",46,"1.6.2.3.","GCF",4,TRUE,30
"47",47,"1.6.3.","Prime Numbers",4,TRUE,30
"50",50,"1.7.1.1.","Introduction to ratio",3,TRUE,62
"51",51,"1.7.1.2.","Chain ratio",4,TRUE,30
"52",52,"1.7.2.","Proportion",4,TRUE,30
"54",54,"1.8.1.","pattern identification in a sequence of numbers",2,TRUE,85
"55",55,"1.8.2.","Arithmetic Progression",3,TRUE,62
"56",56,"1.8.3.","Geometric Progression",4,TRUE,30
"57",57,"1.8.4.","Mixed/others",4,TRUE,30
"59",59,"1.9.1.","Simple one step rate (work rate, commision etc) problems",1,TRUE,97
"60",60,"1.9.2.","Involving simple unitery methods",2,TRUE,85
"61",61,"1.9.3.","Ratio, proportion percent(direct)",4,TRUE,30
"62",62,"1.9.4.","Ratio, proportion, percent (indirect)",5,TRUE,7
"64",64,"1.10.1.","Listing all possible options",4,TRUE,30
"66",66,"1.10.2.1.","Introduction to permutation",5,TRUE,7
"67",67,"1.10.2.2.","Restricted Permutations",5,TRUE,7
"68",68,"1.10.2.3.","Permutation of items where multiple copies of same item are present",5,TRUE,7
"70",70,"1.10.3.1.","Introduction to combination",5,TRUE,7
"71",71,"1.10.3.2.","Making team of...",5,TRUE,7
"72",72,"1.10.3.3.","All possible pair",5,TRUE,7
"74",74,"1.11.1.","Arithmetic operations between terms containing positive integers in exponents",2,TRUE,85
"75",75,"1.11.2.","Inequalities of exponents",3,TRUE,62
"76",76,"1.11.3.","Negative exponents",5,TRUE,7
"77",77,"1.11.4.","Fractional Expoents",5,TRUE,7
"78",78,"1.11.5.","Scientific Notation",2,TRUE,85
"79",79,"1.12.","Logical Reasoning",1,TRUE,97
"81",81,"1.13.1.","Speed and Distance",2,TRUE,85
"82",82,"1.13.2.","Work Rate",2,TRUE,85
"84",84,"2.1.","Basic Algebraic operations",1,TRUE,97
"86",86,"2.2.1.","difference of square",2,TRUE,85
"87",87,"2.2.2.","taking common terms out",2,TRUE,85
"88",88,"2.2.3.","middle term expansion of quadratic expression",2,TRUE,85
"89",89,"2.2.4.","cube difference",2,TRUE,85
"91",91,"2.3.1.","Problems involving positive integral exponents",3,TRUE,62
"92",92,"2.3.2.","Inequalities of exponents",4,TRUE,30
"93",93,"2.3.3.","Negative exponents",5,TRUE,7
